name,category,description,level
Customer Support,IT,,
Technical Documentation,IT,,
Windows,Operating Systems,,
Hardware Troubleshooting,Hardware,,
Software Installation,Software,,
System Software,Software,,
Technical Communication,IT,,
Computer Networking,Networking,,
Computer Hardware,Hardware,,
Computer Literacy,Computer,,
Linux,Operating Systems,,
Technical Support,IT,,
TCP/IP,Networking,,
Network Protocols,Networking,,
Network Model,Networking,,
Virtual Private Networks (VPN),Networking,,
Network Routing,Networking,,
OSI Models,Networking,,
Network Troubleshooting,Networking,,
Dynamic Host Configuration Protocol (DHCP),Networking,,
Wireless Networks,Networking,,
Data Integrity,Networking,,
Network Security,Cybersecurity,,
Network Infrastructure,Networking,,
Network Architecture,Networking,,
Package and Software Management,Systems Administration,,
File Management,Systems Administration,,
System Monitoring,Systems Administration,,
File Systems,Systems Administration,,
Remote Access Systems,Systems Administration,,
OS Process Management,Systems Administration,,
User Accounts,Systems Administration,,
Operating Systems,Operating Systems,,
Operating System Administration,Systems Administration,,
Command-Line Interface,Software,,
Systems Administration,Systems Administration,,
Linux Administration,Systems Administration,,
Virtualization,Cloud,,
Active Directory,Systems Administration,,
IT Infrastructure,Systems Administration,,
Lightweight Directory Access Protocols,Systems Administration,,
Technical Consulting,IT,,
Server Administration,Systems Administration,,
Disaster Recovery,Systems Administration,,
Windows Servers,Operating Systems,,
Cloud Management,Cloud,,
Data Storage,Systems Administration,,
Network Administration,Networking,,
Cloud Computing,Cloud,,
Encryption,Cybersecurity,,
Malware Protection,Cybersecurity,,
Firewall,Cybersecurity,,
Cryptography,Cybersecurity,,
Authorization (Computing),Cybersecurity,,
Hardening,Cybersecurity,,
Authentications,Cybersecurity,,
Threat Detection,Cybersecurity,,
IT Security Architecture,Cybersecurity,,
AI Enablement,AI,,
Cybersecurity,Cybersecurity,,
Security Awareness,Cybersecurity,,
Security Management,Cybersecurity,,
Problem Solving,Soft Skill,,
Generative AI,AI,,
Google Gemini,AI,,
Professional Development,Soft Skill,,
Applicant Tracking Systems,Software,,
Personal Attributes,Soft Skill,,
Communication,Soft Skill,,
Interviewing Skills,Soft Skill,,
IT Service Management,IT,,
Service Level,IT,,
System Support,IT,,
Desktop Support,IT,,
End User Training and Support,IT,,
Help Desk Support,IT,,
Issue Tracking,IT,,
Peripheral Devices,IT,,
Virtual Machines,Cloud,,
Computing Platforms,IT,,
Mac OS,Operating Systems,,
USB,IT,,
Computer Architecture,IT,,
Computer Programming,Programming,,
Artificial Intelligence,AI,,
Data-Driven Decision-Making,Programming,,
Cloud Deployment,Cloud,,
General Networking,Networking,,
Networking Hardware,Hardware,,
Hardware Architecture,Hardware,,
System Configuration,Systems Administration,,
Multi-Factor Authentication,Cybersecurity,,
Personally Identifiable Information,Cybersecurity,,
Data Security,Cybersecurity,,
Cyber Attacks,Cybersecurity,,
Email Security,Cybersecurity,,
Vulnerability Assessments,Cybersecurity,,
Application Security,Cybersecurity,,
Information Privacy,Cybersecurity,,
Computer Security Awareness Training,Cybersecurity,,
Identity and Access Management,Cybersecurity,,
Security Controls,Cybersecurity,,
Cloud Security,Cybersecurity,,
Serverless Computing,Cloud,,
DevOps,DevOps,,
Cloud Storage,Cloud,,
Platform As A Service (PaaS),Cloud,,
Cloud Services,Cloud,,
Cloud Computing Architecture,Cloud,,
Infrastructure As A Service (IaaS),Cloud,,
Hybrid Cloud Computing,Cloud,,
Microservices,Cloud,,
Emerging Technologies,Cloud,,
Cloud Infrastructure,Cloud,,
Cloud Platforms,Cloud,,
Software As A Service (SaaS),Cloud,,
Test Planning,Soft Skill,,
Professionalism,Soft Skill,,
Verbal Communication Skills,Soft Skill,,
Communication Strategies,Soft Skill,,
Business Communications,Soft Skill,,
Time Management,Soft Skill,,
Communication Skills,Soft Skill,,
Negotiation,Soft Skill,,
Teamwork,Soft Skill,,
Active Listening,Soft Skill,,
Python Programming Language,Python,,
Programming,Programming,,
Object-Oriented Programming (OOP),Programming,,
Debugging,Programming,,
Problem-Solving Algorithmically,Programming,,
Python Libraries,Python,,
Python Packaging,Python,,
Regular Expressions (regex),Programming,,
Unit Testing,Programming,,
File I/O,Programming,,
Data Validation,Programming,,
Data Handling,Programming,,
Computational Thinking,Programming,,
Clean Code Practices,Programming,,
Project Development,Development,,
Exception Handling,Programming,,
C Programming Language,C,,
SQL,DataBases,,
HTML,HTML,,
CSS,CSS,,
JavaScript,JavaScript,,
Flask,Python Framework,,
Git & GitHub,DevOps,,
Algorithmic Thinking,Programming,,
Data Structures,Programming,,
Memory Management,Programming,,
Algorithms & Complexity,Programming,,
Security & Ethics,Cybersecurity,,
Full-Stack Web Development,Development,,
How to Learn,Soft Skill,,
Project Design,Development,,
Project Implementation,Development,,
Binary,Computer Sience,,
Restful APIs,Programming,,
Backend Development,Development,,
UX/UI,FrontEnd,,
