title,provider,hours,start_date,end_date,completed,url
Technical Support Fundamentals,Google,19,2024-11-05,2024-11-11,TRUE,https://www.coursera.org/learn/technical-support-fundamentals?specialization=google-it-support
The Bits and Bytes of Computer Networking,Google,22,2024-11-12,2024-11-17,TRUE,https://www.coursera.org/learn/computer-networking?specialization=google-it-support
Operating Systems and You: Becoming a Power User,Google,28,2024-11-18,2024-11-23,TRUE,https://www.coursera.org/learn/os-power-user?specialization=google-it-support
System Administration and IT Infrastructure Services,Google,28,2024-11-24,2024-11-28,TRUE,https://www.coursera.org/learn/system-administration-it-infrastructure-services?specialization=google-it-support
IT Security: Defense against the digital dark arts,Google,23,2024-11-29,2024-12-05,TRUE,https://www.coursera.org/learn/it-security?specialization=google-it-support
Accelerate Your Job Search with AI,Google,6,2025-09-09,2025-09-09,TRUE,https://www.coursera.org/learn/accelerate-your-job-search-with-ai?specialization=google-it-support
Introduction to Technical Support,IBM,12,2024-12-07,2025-08-17,TRUE,https://www.coursera.org/learn/introduction-to-technical-support?specialization=ibm-technical-support
Introduction to Hardware and Operating Systems,IBM,16,2024-12-11,2025-08-17,TRUE,https://www.coursera.org/learn/introduction-to-hardware-and-operating-systems?specialization=ibm-technical-support
"Introduction to Software, Programming, and Databases",IBM,18,2024-12-15,2025-08-17,TRUE,https://www.coursera.org/learn/introduction-software-programming-and-databases?specialization=ibm-technical-support
Introduction to Networking and Storage,IBM,12,2024-12-18,2025-08-18,TRUE,https://www.coursera.org/learn/introduction-to-networking-and-storage?specialization=ibm-technical-support
Introduction to Cybersecurity Essentials,IBM,13,2024-12-20,2025-08-18,TRUE,https://www.coursera.org/learn/introduction-to-cybersecurity-essentials?specialization=ibm-technical-support
Introduction to Cloud Computing,IBM,12,2024-12-23,2025-08-18,TRUE,https://www.coursera.org/learn/introduction-to-cloud?specialization=ibm-technical-support
Practice Exam for CompTIA Tech+ Certification,IBM,3,2024-12-25,2025-08-18,TRUE,https://www.coursera.org/learn/practice-exam-for-comptia-itf-plus-certification?specialization=ibm-technical-support
Technical Support (IT) Case Studies and Capstone,IBM,10,2024-12-26,2025-08-18,TRUE,https://www.coursera.org/learn/technical-support-case-studies?specialization=ibm-technical-support
Tech Support Career Guide and Interview Preparation,IBM,9,2024-12-28,2025-08-18,TRUE,https://www.coursera.org/learn/tech-support-career-guide-and-interview-preparation?specialization=ibm-technical-support
IT for Business Success,HP,1,2024-12-25,2024-12-25,TRUE,https://www.life-global.org/course/39-it-for-business-success
Business Communications,HP,1,2024-12-26,2024-12-26,TRUE,https://www.life-global.org/course/9-business-communications-
Diploma in Information Technology Support,Alison Academy,15,2025-03-11,2025-03-19,TRUE,https://alison.com/course/diploma-in-information-technology-support
Master Linux and Shell Script From Beginner to Advanced,Alison Academy,5,2025-03-11,2025-03-16,TRUE,https://alison.com/course/master-linux-and-shell-script-from-beginner-to-advanced
Soft Skills for Professionals,Alison Academy,3,2025-03-05,2025-03-10,TRUE,https://alison.com/course/soft-skills-for-professionals
CS50P - Introduction to Programming with Python,Harvard CS50,68,2024-12-31,2025-03-06,TRUE,https://www.edx.org/learn/python/harvard-university-cs50-s-introduction-to-programming-with-python
CS50X - Introduction to Computer Science,Harvard CS50,72,2025-11-12,2025-12-26,TRUE,https://www.edx.org/learn/computer-science/harvard-university-cs50-s-introduction-to-computer-science
