title,provider,description,issue_date,credential_url,course_id,specialization_id
Technical Support Fundamentals,Google,"In this course, you’ll be introduced to the world of Information Technology, or IT. You’ll learn about the different facets of Information Technology, like computer hardware, the Internet, computer software, troubleshooting, and customer service. This course covers a wide variety of topics in IT that are designed to give you an overview of what’s to come in this certificate program.

By the end of this course, you’ll be able to:
● understand how the binary system works
● assemble a computer from scratch
● choose and install an operating system on a computer
● understand what the Internet is, how it works, and the impact it has in the modern world
● learn how applications are created and how they work under the hood of a computer
● utilize common problem-solving methodologies and soft skills in an Information Technology setting",2024-11-11,https://www.coursera.org/verify/FWA4ZEQ3KF1U,1,
The Bits and Bytes of Computer Networking,Google,"This course is designed to provide a full overview of computer networking. We’ll cover everything from the fundamentals of modern networking technologies and protocols to an overview of the cloud to practical applications and network troubleshooting. 

By the end of this course, you’ll be able to:
● describe computer networks in terms of a five-layer model
● understand all of the standard protocols involved with TCP/IP communications
● grasp powerful network troubleshooting tools and techniques
● learn network services like DNS and DHCP that help make computer networks run
● understand cloud computing, everything as a service, and cloud storage",2024-11-17,https://www.coursera.org/account/accomplishments/certificate/2F8UTWXCSB24,2,
Operating Systems and You: Becoming a Power User,Google,"Through a combination of video lectures, demonstrations, and hands-on practice, this course will teach learners about the main components of an operating system and how to perform critical tasks like managing software and users and configuring hardware.

By the end of this course you’ll be able to:
● navigate the Windows and Linux filesystems using a graphical user interface and command line interpreter
● set up users, groups, and permissions for account access
● install, configure, and remove software on the Windows and Linux operating systems
● configure disk partitions and filesystems
● understand how system processes work and how to manage them
● work with system logs and remote connection tools
● utilize operating system knowledge to troubleshoot common issues in an IT Support Specialist role",2024-11-23,https://www.coursera.org/account/accomplishments/certificate/2TX19VMJW3B7,3,
System Administration and IT Infrastructure Services,Google,"This course will transition you from working on a single computer to an entire fleet. Systems administration is the field of IT that’s responsible for maintaining reliable computers systems in a multi-user environment. In this course, you’ll learn about the infrastructure services that keep all organizations, big and small, up and running. We’ll deep dive on cloud so that you’ll understand everything from typical cloud infrastructure setups to how to manage cloud resources. You'll also learn how to manage and configure servers and how to use industry tools to manage computers, user information, and user productivity. Finally, you’ll learn how to recover your organization’s IT infrastructure in the event of a disaster.

By the end of this course you’ll be able to:
● utilize best practices for choosing hardware, vendors, and services for your organization
● understand how the most common infrastructure services that keep an organization
   running work, and how to manage infrastructure servers
● understand how to make the most of the cloud for your organization
● manage an organization’s computers and users using the directory services, Active
    Directory, and OpenLDAP
● choose and manage the tools that your organization will use
● backup your organization’s data and know how to recover your IT infrastructure in the case of
a disaster
● utilize systems administration knowledge to plan and improve processes for IT environments",2024-11-28,https://www.coursera.org/account/accomplishments/certificate/KVJDCHCQ9IO3,4,
IT Security: Defense against the digital dark arts,Google,"This course covers a wide variety of IT security concepts, tools, and best practices. It introduces threats and attacks and the many ways they can show up. We’ll give you some background of encryption algorithms and how they’re used to safeguard data. Then, we’ll dive into the three As of information security: authentication, authorization, and accounting. We’ll also cover network security solutions, ranging from firewalls to Wifi encryption options. The course is rounded out by putting all these elements together into a multi-layered, in-depth security architecture, followed by recommendations on how to integrate a culture of security into your organization or team.

At the end of this course, you’ll understand:
● how various encryption algorithms and techniques work as well as their benefits and limitations.
● various authentication systems and types.
● the difference between authentication and authorization.
● how to evaluate potential risks and recommend ways to reduce risk.
● best practices for securing a network.
● how to help others to grasp security concepts and protect themselves.
● new AI skills from Google experts to help complete IT tasks.",2024-12-05,https://www.coursera.org/account/accomplishments/certificate/TCGARH701EC8,5,
Accelerate Your Job Search with AI,Google,"Uncover your skills and explore new career possibilities, with support from tools like Career Dreamer.

Keep your applications organized with Google Sheets.

Build a stand out resume and a step-by-step job search plan—with help from Gemini.

Prepare for interviews and practice responding to questions using NotebookLM and Gemini Live.",2025-09-09,https://www.coursera.org/account/accomplishments/certificate/XE31A9OAPOVF,6,
Google IT Support Professional Certificate,Google,"Gain skills required to succeed in an entry-level IT job

Learn to perform day-to-day IT support tasks including computer assembly, wireless networking, installing programs, and customer service

Learn how to provide end-to-end customer support, ranging from identifying problems to troubleshooting and debugging

Learn to use systems including Linux, Domain Name Systems, Command-Line Interface, and Binary Code",2024-12-05,https://www.coursera.org/account/accomplishments/professional-cert/DRUU2ZRRA7QB,,1
Introduction to Technical Support,IBM,"Define technical support, tech support, IT support, customer support mindset, the various levels of IT support, and the escalation matrix 

Discover soft and technical skills required and opportunities available for a career in Technical Support

Explore the features and benefits of ticketing systems

Identify the various methodologies and frameworks popular in technical support",2025-08-17,https://www.coursera.org/account/accomplishments/certificate/BIER2XZ0241W,7,
Introduction to Hardware and Operating Systems,IBM,"Identify the hardware components of desktops, laptops, and other devices, plus operating system functions, settings, and troubleshooting processes


Explore ports, connectors, storage devices, and GPU architectures, and assess appropriate processing and hardware solutions for applications


Develop secure IoT integration strategies for wearable devices and smart tech, using effective device management and cybersecurity principles.

 

Evaluate VR and AR technologies for organizational use, assessing hardware requirements, deployment considerations, and practical applications.",2025-08-17,https://www.coursera.org/account/accomplishments/certificate/D322B4SS5I0N,8,
"Introduction to Software, Programming, and Databases",IBM,"Classify, install, and administer software applications and tools, including those used on mobile operating systems


Learn foundational concepts in cloud services, browser technologies, and software development models, techniques, and best practices


Utilize core database concepts using the principles of database management and perform basic operations to interface with and maintain databases


Understand how AI enables intelligent tools such as chatbots, virtual assistants, and generative applications to solve real-world problems",2025-08-17,https://www.coursera.org/account/accomplishments/certificate/4Z45L3WPQCHF,9,
