name,description,github_url,start_date,end_date,status,course_id,specialization_id
NetSage - Network Monitoring Tool,"A Python-powered network monitoring tool with CLI & GUI (PyQt5). Includes speed tests, ISP info, connection status, Wi-Fi quality, troubleshooting, history visualization, and website checker. Built as my CS50 final project and continuously improving.",https://github.com/HossamJa/NetSage-Network-Monitoring-Tool,2025-03-08,2025-04-20,completed,21,
"PEVS, Physics Engine Validation Simulator",A physics-governed virtual laboratory for validating propulsion concepts under real conservation laws.,https://github.com/HossamJa/P.E.V.S-physics-engine-validation-simulator,2025-12-27,2026-01-26,completed,22,
Little Lemon Meta Capstone Project,"The final project for the Meta Back-End Developer Specialization Capstone course on Coursera, centered around building a robust web API for the Little Lemon restaurant.",https://github.com/HossamJa/LittleLemon-Meta-Capstone-Project,2025-09-16,2025-09-17,completed,,
Little Lemon Restaurant Booking System,"The final peer-graded project for the Meta The Full Stack course on Coursera, combining skills in Django, MySQL, and JavaScript to create a fully functional booking system for Little Lemon, a fictional restaurant. The project consists of three exercises: connecting the back-end to MySQL, setting up a booking API, and implementing dynamic reservation management with JavaScript. The application features a booking form, a reservations page, and API endpoints to display reservation data, ensuring duplicate bookings are prevented and timeslots are dynamically updated.",https://github.com/HossamJa/Meta-The-Full-Stack-final-project,2025-09-14,2025-09-16,completed,,
Little Lemon API Development,"The final project for the Meta APIs course on Coursera, focusing on building a robust API system for Little Lemon, a fictional restaurant. The project implements a Django REST Framework (DRF) API with token-based authentication, supporting three user roles: Managers, Customers, and Delivery Crew. It includes endpoints for user registration, menu management, cart functionality, order processing, and delivery tracking, with throttling limited to 5 requests per minute. The API ensures proper HTTP status codes and error handling, making it suitable for web and mobile application integration.",https://github.com/HossamJa/Meta-APIs-final-project,2025-09-13,2025-09-15,completed,,
Design and Build a Simple Django App for Little Lemon,"The final graded assessment for the Meta Django course on Coursera! This project showcases the skills acquired in building a Django-based web application for Little Lemon, a local bistro owned by Mario and Adrian. The goal was to create a functional website with a Menu page and Menu Item page, integrating models, views, templates, and a footer, while leveraging Django's framework to enhance their digital presence. The application includes five pages—Home, About, Booking, Menu, and Menu Item—demonstrating proficiency in Django development.",https://github.com/HossamJa/Meta-design-and-build-a-simple-Django-app,2025-09-11,2025-09-13,completed,,
IBM DevOps Capstone Project,"The completed DevOps Capstone Project for the IBM DevOps and Software Engineering Professional Certificate. The project demonstrates hands-on application of DevOps principles, including Agile planning, Test-Driven Development (TDD), Continuous Integration (CI), security enhancements, containerization, Kubernetes deployment, and automated Continuous Delivery (CD) pipelines.",https://github.com/HossamJa/devops-capstone-project,2025-08-03,2025-08-06,completed,,
IBM Back-end Application Development Capstone: Main Django Application,"The core Django application for the IBM Back-end Application Development Capstone Project, the final course in the IBM Back-End Development Professional Certificate on Coursera. It integrates microservices for pictures and songs, manages user authentication, concert bookings, and deployments using cloud-native technologies.",https://github.com/HossamJa/Back-end-Development-Capstone,2025-08-15,2025-08-17,completed,,
IBM Back-end Application Development Capstone: Songs Microservice,"The Flask-based microservice for handling song data in the IBM Back-end Application Development Capstone Project, part of the IBM Back-End Development Professional Certificate on Coursera. It integrates with MongoDB to manage song lyrics and details via a RESTful API. This microservice works with the Pictures microservice and the main Django application to build an event management system for a fictional music band website.",https://github.com/HossamJa/Back-End-Development-Songs,2025-08-13,2025-08-15,completed,,
IBM Back-end Application Development Capstone: Pictures Microservice,"The Flask-based microservice for handling event pictures in the IBM Back-end Application Development Capstone Project, part of the IBM Back-End Development Professional Certificate on Coursera. It implements a RESTful API to manage URLs of pictures from past events, following Test-Driven Development (TDD) principles. This microservice integrates with the main Django application and the Songs microservice to form a complete event management system for a fictional music band website.",https://github.com/HossamJa/Back-End-Development-Pictures,2025-08-10,2025-08-13,completed,,
